id,title,year,gross
3422639,Beowulf & Grendel,2005,66851
3422642,Beowulf,2007,82161969
3422934,Berlin,2007,29692
3426486,Bewitched,2005,62252415
3426762,Beyond Borders,2003,4426297
3426906,Beyond Honor,2004,6437
3427496,Beyond the Sea,2004,6318709
3430870,Big Fish,2003,66257002
3431219,Big Momma's House 2,2006,70165972
3432325,Bigger Than the Sky,2005,20149
3432664,Biker Boyz,2003,21701045
3432872,Bikur Ha-Tizmoret,2007,3053823
3433066,Bill,2007,59108
3433364,Billabong Odyssey,2003,54000
3435544,Birth,2004,5005883
3438034,Black Christmas,2006,16235293
3438625,Black Gold,2006,93477
3438895,Black Irish,2007,6900
3439855,Black Snake Moan,2006,9396870
3440945,Blade: Trinity,2004,52411906
3440956,Blades of Glory,2007,118594548
3442399,Blind Dating,2006,87416
3443198,Blizzard,2003,385810
3443510,Blonde Ambition,2007,6422
3443865,Blood and Chocolate,2007,3525161
3444100,Blood Diamond,2006,57366262
3445104,BloodRayne,2005,2405420
3446267,Blue Collar Comedy Tour: The Movie,2003,604856
3448428,Bobby,2006,11242801
3448573,Bobby Jones: Stroke of Genius,2004,2694071
3449211,Body of War,2007,71716
3451690,Bonhoeffer,2003,163720
3451869,Bonneville,2006,488393
3452295,Boogeyman,2005,46752382
3453191,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,128505958
3453416,Borderline,2003,2250
3453876,Born Into Brothels: Calcutta's Red Light Kids,2004,3410863
3456293,Boy Culture,2006,220151
3456788,Boys Life 4: Four Play,2003,53169
3457717,Brand Upon the Brain! A Remembrance in 12 Chapters,2006,227064
3458101,Bratz,2007,10005534
3458470,Breach,2007,33231264
3459125,Breakin' All the Rules,2004,11827301
3459170,Breaking and Entering,2006,928960
3460845,Brick,2005,2060589
3460940,Bride & Prejudice,2004,6601079
3461171,Bridge to Terabithia,2007,82272442
3461241,Bridget Jones: The Edge of Reason,2004,40226215
3461531,Bright Leaves,2003,77888
3462000,Bringing Down the House,2003,132716677
3463118,Brokeback Mountain,2005,83043761
3463374,Broken Bridges,2006,252539
3463475,Broken English,2007,955625
3463497,Broken Flowers,2005,13744960
3464352,Brooklyn Lobster,2005,138267
3464368,Brooklyn Rules,2007,398420
3464564,Brother Bear,2003,85336277
3464945,Brothers in Arms,2003,3270
3465256,Bruce Almighty,2003,242829261
3466354,Bubble,2005,145382
3466624,Bubot Niyar,2006,36089
3467675,Bug,2006,7006708
3468335,Bukowski: Born into This,2003,303490
3468718,Bulletproof Monk,2003,23020488
3471387,Bush's Brain,2004,177525
3475180,C.S.A.: The Confederate States of America,2004,671122
3476981,Calendar Girls,2003,31041759
3479166,Camp,2003,1628154
3481873,Canvas,2006,32525
3482373,Capote,2005,28747570
3483096,Captivity,2007,2626800
3483282,Capturing the Friedmans,2003,3117985
3484514,Carlos Castaneda: Enigma of a Sorcerer,2004,94848
3484777,Carmen and Geoffrey,2005,11777
3486120,Cars,2006,244082982
3486603,Casa de los babys,2003,475940
3486777,Casanova,2005,11294832
3487285,Casino Royale,2006,167445960
3487416,Cassandra's Dream,2007,971561
3487789,Casting About,2005,6922
3488754,Catch a Fire,2006,4291965
3488764,Catch and Release,2006,15269668
3488825,Catch That Kid,2004,16702864
3489415,Catwoman,2004,40202379
3490123,Cavite,2005,70071
3491342,Cellular,2004,32003620
3491406,Celsius 41.11: The Temperature at Which the Brain... Begins to Die,2004,93000
3492400,Certifiably Jonathan,2007,7826
3493541,Chalk,2006,300633
3494753,Change the Game,2006,1050
3495536,Chapter 27,2007,55704
3496219,Charlie and the Chocolate Factory,2005,206459076
3496241,Charlie Bartlett,2007,3950294
3496465,Charlie Wilson's War,2007,66661095
3496480,Charlie's Angels: Full Throttle,2003,100830111
3496665,Charlotte's Web,2006,82985708
3497189,Chasing Liberty,2004,12189514
3497223,Chasing Papi,2003,6126237
3498076,Cheaper by the Dozen,2003,138614544
3498078,Cheaper by the Dozen 2,2005,82571173
3500875,Chicago 10,2007,176545
3501294,Chicken Little,2005,135386665
3502704,Children of Men,2006,35552383
3505095,Choking Man,2006,4189
3505286,Chooch,2003,30792
3505318,Choose Connor,2007,5309
3505412,Chop Shop,2007,123731
3505849,Chris & Don. A Love Story,2007,212814
3506395,Christmas at Maxwell's,2006,12781
3506697,Christmas in Wonderland,2007,78566
3506924,Christmas with the Kranks,2004,73780539
3507441,Chrystal,2004,80701
3508129,Church Ball,2006,464991
3509549,Cinderella Man,2005,61649911
3512048,Civic Duty,2006,54902
3512242,Cl.One,2005,21496
3514002,Clerks II,2006,24138847
3514103,Click,2006,137355633
3514231,Clifford's Really Big Movie,2004,2831130
3515165,Closer,2004,33987757
3515282,Closing Escrow,2007,5772
3515932,Club Dread,2004,4992159
3516617,Coach Carter,2005,67264877
3516950,Cocaine Cowboys,2006,148872
3517678,Code Name: The Cleaner,2007,8104069
3518119,Coffee and Cigarettes,2003,1971135
3518803,Cold Creek Manor,2003,21384035
