id,title,year,gross
3415295,Beautiful Creatures,2013,19452138
3417212,Beer Wars,2009,220000
3417276,Beeswax,2009,46505
3417333,Beetle Queen Conquers Tokyo,2009,10068
3417549,Before Midnight,2013,8114627
3417976,Begin Again,2013,16170632
3417998,Beginners,2010,5790894
3418446,Behind the Burly Q,2010,23859
3419633,Being Elmo: A Puppeteer's Journey,2011,302652
3419647,Being Flynn,2012,526322
3420870,Bellflower,2011,167242
3421906,Beneath the Harvest Sky,2013,28116
3423380,Bernie,2011,9203192
3423493,Bert Stern: Original Madman,2011,32864
3424136,Best Man Down,2012,1842
3424547,Best Worst Movie,2009,103194
3425441,Bettie Page Reveals All,2012,102378
3426401,Beware of Mr. Baker,2012,114271
3426676,Beyond a Reasonable Doubt,2009,32409
3426874,Beyond Galilee,2012,3986
3428703,Bhutto,2010,100009
3429499,Bidder 70,2012,4809
3430834,Big Fan,2009,234422
3431185,Big Men,2013,43191
3431199,Big Miracle,2012,20113965
3431220,"Big Mommas: Like Father, Like Son",2011,37915414
3431585,Big Star: Nothing Can Hurt Me,2012,105030
3431599,Big Sur,2013,33621
3432122,Big Words,2013,7371
3433156,Bill Cunningham New York,2010,1510026
3436295,Bitch Slap,2009,17365
3438350,Black Dynamite,2009,228477
3439347,Black Nativity,2013,7017178
3439988,Black Swan,2010,106954678
3440461,Blackfish,2013,2063312
3441350,Blank City,2010,116037
3441948,"Bless Me, Ultima",2013,1553826
3444001,Blood Brother,2013,121160
3444113,Blood Done Sign My Name,2010,82739
3444796,Blood Ties,2013,41229
3446217,Blue Caprice,2013,86749
3446497,Blue Jasmine,2013,33405481
3446558,Blue Like Jazz,2012,1163310
3446805,Blue Ruin,2013,258113
3446933,Blue Valentine,2010,9737892
3452499,Booker's Place: A Mississippi Story,2012,5000
3455830,Bowl of Dreams,2011,60000
3456177,Boxing Gym,2010,34502
3457541,Brake,2012,4330
3457737,Branded,2012,353468
3458159,Brave,2012,237283207
3459073,Breakfast with Curtis,2012,6629
3459695,Breaking Upwards,2009,76382
3459935,Breath Made Visible: Anna Halprin,2009,8426
3460082,Breathe In,2013,15324
3461014,Bride Wars,2009,58715510
3461059,Bridesmaids,2011,169106725
3461349,Brief Interviews with Hideous Men,2009,27935
3461358,Brief Reunion,2011,8543
3462068,Bringing Up Bobby,2011,4975
3462895,Broadway Idiot,2013,26311
3463404,Broken City,2013,19701164
3463563,Broken Hill,2009,50076
3464310,Brooklyn Brothers Beat the Best,2011,7466
3464316,Brooklyn Castle,2012,219407
3464386,Brooklyn's Finest,2009,27154426
3464840,Brothers,2009,28501651
3464915,Brothers at War,2009,152798
3465789,Brutal Beauty: Tales of the Rose City Rollers,2010,8809
3466139,Brüno,2009,60054530
3466694,Buck,2011,4023123
3466884,Bucky Larson: Born to Be a Star,2011,2331318
3467322,Budrus,2009,68353
3468685,Bullet to the Head,2012,9483821
3468921,Bully,2011,4038876
3470135,Buried,2010,1028658
3470278,Burlesque,2010,39440655
3470386,Burn,2012,1109276
3472492,Butter,2011,70931
3474041,Byzantium,2012,84293
3475160,C.O.G.,2013,55301
3475240,Ca$h,2010,46451
3476011,Caesar and Otto's Summer Camp Massacre,2009,25844
3477303,California Solo,2012,15368
3477654,Call Me Kuchu,2012,8941
3477822,Call of the Wild,2009,28682
3479172,Camp,2013,324977
3480177,Can't Stand Losing You,2012,23193
3482265,Capitalism: A Love Story,2009,14359793
3482583,Captain America: The First Avenger,2011,176654505
3482870,Captain Phillips,2013,107100855
3485465,Carol Channing: Larger Than Life,2012,9949
3485846,Carrie,2013,35266619
3485906,Carriers,2009,90820
3486123,Cars 2,2011,191452396
3486219,Cartas a Elena,2011,7711
3486606,Casa de mi Padre,2012,5895238
3486897,Case 39,2009,13248477
3487274,Casino Jack and the United States of Money,2010,175604
3487393,Cassadaga,2011,1678
3487440,Casse-tête chinois,2013,335430
3487795,Casting By,2012,7900
3488737,Catch .44,2011,1887
3489049,Catfish,2010,3234373
3489288,Cats & Dogs: The Revenge of Kitty Galore,2010,43585753
3489453,Caucus,2013,8700
3490041,Cave of Forgotten Dreams,2010,5234785
3490309,CBGB,2013,40040
3490692,Cedar Rapids,2011,6857503
3491093,Celeste & Jesse Forever,2012,3094687
3491993,Centurion,2010,122288
3492217,Ceremony,2010,21666
3493141,Chain Letter,2009,143000
3493714,Chamaco,2009,408000
